update,mean_coopval,count,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
152,0.500973,7709,0,0,0,0,7709,0,0,0,0,0
153,0.50096,7781,0,0,0,0,7781,0,0,0,0,0
154,0.500875,7948,0,0,0,0,7948,0,0,0,0,0
155,0.500837,8134,0,0,0,0,8134,0,0,0,0,0
156,0.500865,8347,0,0,0,0,8347,0,0,0,0,0
157,0.500944,8508,0,0,0,0,8508,0,0,0,0,0
158,0.50104,8607,0,0,0,0,8607,0,0,0,0,0
159,0.501052,8657,0,0,0,0,8657,0,0,0,0,0
160,0.501045,8669,0,0,0,0,8669,0,0,0,0,0
161,0.501011,8680,0,0,0,0,8680,0,0,0,0,0
162,0.500993,8718,0,0,0,0,8718,0,0,0,0,0
163,0.500976,8780,0,0,0,0,8780,0,0,0,0,0
164,0.500886,8903,0,0,0,0,8903,0,0,0,0,0
165,0.5008,9028,0,0,0,0,9028,0,0,0,0,0
166,0.500875,9146,0,0,0,0,9146,0,0,0,0,0
167,0.500872,9234,0,0,0,0,9234,0,0,0,0,0
168,0.500939,9280,0,0,0,0,9280,0,0,0,0,0
169,0.500964,9306,0,0,0,0,9306,0,0,0,0,0
170,0.500964,9312,0,0,0,0,9312,0,0,0,0,0
171,0.500911,9320,0,0,0,0,9320,0,0,0,0,0
172,0.500932,9341,0,0,0,0,9341,0,0,0,0,0
173,0.500856,9373,0,0,0,0,9373,0,0,0,0,0
174,0.500733,9422,0,0,0,0,9422,0,0,0,0,0
175,0.500727,9492,0,0,0,0,9492,0,0,0,0,0
176,0.500839,9552,0,0,0,0,9552,0,0,0,0,0
177,0.50092,9589,0,0,0,0,9589,0,0,0,0,0
178,0.500983,9607,0,0,0,0,9607,0,0,0,0,0
179,0.500983,9616,0,0,0,0,9616,0,0,0,0,0
180,0.500989,9619,0,0,0,0,9619,0,0,0,0,0
181,0.500967,9624,0,0,0,0,9624,0,0,0,0,0
182,0.500915,9644,0,0,0,0,9644,0,0,0,0,0
183,0.500865,9671,0,0,0,0,9671,0,0,0,0,0
184,0.500809,9711,0,0,0,0,9711,0,0,0,0,0
185,0.500807,9743,0,0,0,0,9743,0,0,0,0,0
186,0.500902,9775,0,0,0,0,9775,0,0,0,0,0
187,0.500959,9799,0,0,0,0,9799,0,0,0,0,0
188,0.501009,9808,0,0,0,0,9808,0,0,0,0,0
189,0.501009,9810,0,0,0,0,9810,0,0,0,0,0
190,0.501008,9812,0,0,0,0,9812,0,0,0,0,0
191,0.500957,9816,0,0,0,0,9816,0,0,0,0,0
192,0.500894,9823,0,0,0,0,9823,0,0,0,0,0
193,0.500871,9844,0,0,0,0,9844,0,0,0,0,0
194,0.500801,9860,0,0,0,0,9860,0,0,0,0,0
195,0.500836,9884,0,0,0,0,9884,0,0,0,0,0
196,0.500975,9895,0,0,0,0,9895,0,0,0,0,0
197,0.501006,9899,0,0,0,0,9899,0,0,0,0,0
198,0.501032,9901,0,0,0,0,9901,0,0,0,0,0
199,0.501036,9904,0,0,0,0,9904,0,0,0,0,0
200,0.501024,9905,0,0,0,0,9905,0,0,0,0,0
201,0.500978,9907,0,0,0,0,9907,0,0,0,0,0
202,0.500924,9912,0,0,0,0,9912,0,0,0,0,0
203,0.500843,9921,0,0,0,0,9921,0,0,0,0,0
204,0.500797,9927,0,0,0,0,9927,0,0,0,0,0
205,0.500868,9935,0,0,0,0,9935,0,0,0,0,0
206,0.500951,9945,0,0,0,0,9945,0,0,0,0,0
207,0.500973,9950,0,0,0,0,9950,0,0,0,0,0
208,0.500998,9955,0,0,0,0,9955,0,0,0,0,0
209,0.501017,9957,0,0,0,0,9957,0,0,0,0,0
210,0.501005,9957,0,0,0,0,9957,0,0,0,0,0
211,0.500951,9958,0,0,0,0,9958,0,0,0,0,0
212,0.500881,9962,0,0,0,0,9962,0,0,0,0,0
213,0.500832,9963,0,0,0,0,9963,0,0,0,0,0
214,0.500821,9967,0,0,0,0,9967,0,0,0,0,0
215,0.500916,9968,0,0,0,0,9968,0,0,0,0,0
216,0.501007,9971,0,0,0,0,9971,0,0,0,0,0
217,0.501044,9971,0,0,0,0,9971,0,0,0,0,0
218,0.501049,9974,0,0,0,0,9974,0,0,0,0,0
219,0.501052,9975,0,0,0,0,9975,0,0,0,0,0
220,0.501037,9975,0,0,0,0,9975,0,0,0,0,0
221,0.50101,9976,0,0,0,0,9976,0,0,0,0,0
222,0.50095,9977,0,0,0,0,9977,0,0,0,0,0
223,0.50088,9981,0,0,0,0,9981,0,0,0,0,0
224,0.500836,9983,0,0,0,0,9983,0,0,0,0,0
225,0.500862,9983,0,0,0,0,9983,0,0,0,0,0
226,0.500931,9984,0,0,0,0,9984,0,0,0,0,0
227,0.500984,9987,0,0,0,0,9987,0,0,0,0,0
228,0.500981,9987,0,0,0,0,9987,0,0,0,0,0
229,0.500979,9987,0,0,0,0,9987,0,0,0,0,0
230,0.500944,9987,0,0,0,0,9987,0,0,0,0,0
231,0.500884,9987,0,0,0,0,9987,0,0,0,0,0
232,0.500797,9987,0,0,0,0,9987,0,0,0,0,0
233,0.500798,9989,0,0,0,0,9989,0,0,0,0,0
234,0.500786,9992,0,0,0,0,9992,0,0,0,0,0
235,0.500917,9993,0,0,0,0,9993,0,0,0,0,0
236,0.500994,9994,0,0,0,0,9994,0,0,0,0,0
237,0.501038,9994,0,0,0,0,9994,0,0,0,0,0
238,0.501046,9994,0,0,0,0,9994,0,0,0,0,0
239,0.50105,9995,0,0,0,0,9995,0,0,0,0,0
240,0.501015,9995,0,0,0,0,9995,0,0,0,0,0
241,0.500967,9996,0,0,0,0,9996,0,0,0,0,0
242,0.500862,9996,0,0,0,0,9996,0,0,0,0,0
243,0.500839,9997,0,0,0,0,9997,0,0,0,0,0
244,0.500925,9997,0,0,0,0,9997,0,0,0,0,0
245,0.501012,9997,0,0,0,0,9997,0,0,0,0,0
246,0.501057,9997,0,0,0,0,9997,0,0,0,0,0
247,0.501108,9998,0,0,0,0,9998,0,0,0,0,0
248,0.501107,9998,0,0,0,0,9998,0,0,0,0,0
249,0.501077,9998,0,0,0,0,9998,0,0,0,0,0
250,0.501022,9998,0,0,0,0,9998,0,0,0,0,0
251,0.500987,9999,0,0,0,0,9999,0,0,0,0,0
252,0.500938,9999,0,0,0,0,9999,0,0,0,0,0
253,0.500947,9999,0,0,0,0,9999,0,0,0,0,0
254,0.501006,9999,0,0,0,0,9999,0,0,0,0,0
255,0.501055,9999,0,0,0,0,9999,0,0,0,0,0
256,0.501062,9999,0,0,0,0,9999,0,0,0,0,0
257,0.501056,10000,0,0,0,0,10000,0,0,0,0,0
258,0.501048,10000,0,0,0,0,10000,0,0,0,0,0
259,0.501015,10000,0,0,0,0,10000,0,0,0,0,0
260,0.500962,10000,0,0,0,0,10000,0,0,0,0,0
261,0.500974,10000,0,0,0,0,10000,0,0,0,0,0
262,0.500904,10000,0,0,0,0,10000,0,0,0,0,0
263,0.500849,10000,0,0,0,0,10000,0,0,0,0,0
264,0.500845,10000,0,0,0,0,10000,0,0,0,0,0
265,0.500886,10000,0,0,0,0,10000,0,0,0,0,0
266,0.500897,10000,0,0,0,0,10000,0,0,0,0,0
267,0.500903,10000,0,0,0,0,10000,0,0,0,0,0
268,0.500892,10000,0,0,0,0,10000,0,0,0,0,0
269,0.50089,10000,0,0,0,0,10000,0,0,0,0,0
270,0.500876,10000,0,0,0,0,10000,0,0,0,0,0
271,0.500814,10000,0,0,0,0,10000,0,0,0,0,0
272,0.50076,10000,0,0,0,0,10000,0,0,0,0,0
273,0.500774,10000,0,0,0,0,10000,0,0,0,0,0
274,0.500823,10000,0,0,0,0,10000,0,0,0,0,0
275,0.500893,10000,0,0,0,0,10000,0,0,0,0,0
276,0.500936,10000,0,0,0,0,10000,0,0,0,0,0
